name,date
Chhath Pooja  Year 2022-25,10/27/2025
Shiv Mandir Daan Patar (OPEN),12/6/2023
Mandir Asthapana Diwas Bhandara on: 10th March 24,3/10/2024
Ram Nawai Bhandara on: 17th April 2024,4/17/2024
Hanuman Jainti Bhandara on: 23rd April 2024,4/23/2024
New Year SunderKand & Bhandara on: 1st Jan 2025,1/1/2025
Mandir Asthapana Diwas Bhandara on: 10th March 25,3/10/2025
Ramnavi Bhandara on: 6th April 2025,4/6/2025
Hanuman Jainti Bhandara on: 12th April 2025,4/12/2025
Krishna Ashatmi on: 16th Aug 2025,8/16/2025
Krishan aastami Bhandara on: 26th Aug & 1st Sep 24,8/26/2024
Ganesh Pooja Bhandara on :17th Sep 2024,9/17/2024
Nava Ratri Bhandara: 12th Oct 2024,10/12/2024
Ganesh Pooja Bhandara on: 5th Sep 2025,5/9/2025
Bhagwat Katha & Bhandara on: 14th Sep 2025,9/14/2025
Mandir Painting on: 14th Oct. 2025,10/14/2025
Gowrdhan Bhandara: 21st Oct. 2025,10/21/2025
Akhand Ramayan & Bhandara on: 11th March 2023,3/11/2023
Ram Navni Bhandara on: 30th March 2023,3/30/2023
Hanuman Jainti Bhandara on 6th April 2023,4/6/2023
Bhandara on 15th August 2023,8/15/2023
Krishan aastami Bhandara: 7th & 12th Sep 2023,9/12/2023
Ganesh Pooja Bhandara: 27th Sep 2023,9/27/2023
Nava Ratri Bhandara: 23rd Oct 2023,10/23/2023
Gowrdhan Bhandara: 14th Nov. 2023,11/14/2023
Akhand Ramayan & Bhandara on: 21th & 23rd Jan-2024,1/23/2024
New Year Mata Chowki & Bhandara,1/1/2026
Saraswti Pooja,1/23/2026
Mandir Repair and Maintinance,1/1/2023
Sitala Mata Mandir Asthapana & Bhandara,2/13/2026
Shiv Mandir Painting,10/14/2025
Mandir Sahiyog Rashi (Reqular),1/1/2026
Other expenses Year 2023-25,1/1/2023